date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:00:42	13126/13126	---M--	200	added ('OK')	image/jpeg	etag:%223346-5bb6fd5c65777%22	https://andyhardy.co/media/pages/portfolio/9d1f9f5e75-1613463737/andy-hardy-people-accomodation-photographer-filmmaker-australia-15-400x400-q72.jpg	C:/My%20Web%20Sites/https___andyhardy.co_/andyhardy.co/media/pages/portfolio/9d1f9f5e75-1613463737/andy-hardy-people-accomodation-photographer-filmmaker-australia-15-400x400-q72.jpg	(from https://andyhardy.co/portfolio)
12:00:42	28740/28740	---M--	200	added ('OK')	image/jpeg	etag:%227044-5bb6fd5d2f604%22	https://andyhardy.co/media/pages/portfolio/bc3fb63e5c-1613463736/andy-hardy-people-accomodation-photographer-filmmaker-australia-6-400x400-q72.jpg	C:/My%20Web%20Sites/https___andyhardy.co_/andyhardy.co/media/pages/portfolio/bc3fb63e5c-1613463736/andy-hardy-people-accomodation-photographer-filmmaker-australia-6-400x400-q72.jpg	(from https://andyhardy.co/portfolio)
12:00:43	873170/873170	---M--	200	added ('OK')	image/jpeg	etag:%22d52d2-5bb7aaac26246%22	https://andyhardy.co/media/pages/portfolio/bc3fb63e5c-1613463736/andy-hardy-people-accomodation-photographer-filmmaker-australia-6-2160x2160.jpg	C:/My%20Web%20Sites/https___andyhardy.co_/andyhardy.co/media/pages/portfolio/bc3fb63e5c-1613463736/andy-hardy-people-accomodation-photographer-filmmaker-australia-6-2160x2160.jpg	(from https://andyhardy.co/portfolio)
12:00:43	16419/16419	---M--	200	added ('OK')	image/jpeg	etag:%224023-5bb6fd5cc6e19%22	https://andyhardy.co/media/pages/portfolio/bda27d94dd-1613463736/andy-hardy-people-accomodation-photographer-filmmaker-australia-4-400x400-q72.jpg	C:/My%20Web%20Sites/https___andyhardy.co_/andyhardy.co/media/pages/portfolio/bda27d94dd-1613463736/andy-hardy-people-accomodation-photographer-filmmaker-australia-4-400x400-q72.jpg	(from https://andyhardy.co/portfolio)
12:00:43	888389/888389	---M--	200	added ('OK')	image/jpeg	etag:%22d8e45-5bb7aaae01408%22	https://andyhardy.co/media/pages/portfolio/bda27d94dd-1613463736/andy-hardy-people-accomodation-photographer-filmmaker-australia-4-2160x2160.jpg	C:/My%20Web%20Sites/https___andyhardy.co_/andyhardy.co/media/pages/portfolio/bda27d94dd-1613463736/andy-hardy-people-accomodation-photographer-filmmaker-australia-4-2160x2160.jpg	(from https://andyhardy.co/portfolio)
12:00:44	668086/668086	---M--	200	added ('OK')	image/jpeg	etag:%22a31b6-5bb7aaae99998%22	https://andyhardy.co/media/pages/portfolio/96b941fe0d-1613463735/andy-hardy-people-accomodation-photographer-filmmaker-australia-2-2160x2160.jpg	C:/My%20Web%20Sites/https___andyhardy.co_/andyhardy.co/media/pages/portfolio/96b941fe0d-1613463735/andy-hardy-people-accomodation-photographer-filmmaker-australia-2-2160x2160.jpg	(from https://andyhardy.co/portfolio)
12:00:44	23626/23626	---M--	200	added ('OK')	image/jpeg	etag:%225c4a-5bb6fd5cc7201%22	https://andyhardy.co/media/pages/portfolio/96b941fe0d-1613463735/andy-hardy-people-accomodation-photographer-filmmaker-australia-2-400x400-q72.jpg	C:/My%20Web%20Sites/https___andyhardy.co_/andyhardy.co/media/pages/portfolio/96b941fe0d-1613463735/andy-hardy-people-accomodation-photographer-filmmaker-australia-2-400x400-q72.jpg	(from https://andyhardy.co/portfolio)
12:00:45	348600/348600	---M--	200	added ('OK')	image/jpeg	etag:%22551b8-5bb7aaaeffa72%22	https://andyhardy.co/media/pages/portfolio/1f1adc61b1-1613463736/andy-hardy-people-accomodation-photographer-filmmaker-australia-7-2160x2160.jpg	C:/My%20Web%20Sites/https___andyhardy.co_/andyhardy.co/media/pages/portfolio/1f1adc61b1-1613463736/andy-hardy-people-accomodation-photographer-filmmaker-australia-7-2160x2160.jpg	(from https://andyhardy.co/portfolio)
12:00:45	14162/14162	---M--	200	added ('OK')	image/jpeg	etag:%223752-5bb6fd5d3ffa6%22	https://andyhardy.co/media/pages/portfolio/1f1adc61b1-1613463736/andy-hardy-people-accomodation-photographer-filmmaker-australia-7-400x400-q72.jpg	C:/My%20Web%20Sites/https___andyhardy.co_/andyhardy.co/media/pages/portfolio/1f1adc61b1-1613463736/andy-hardy-people-accomodation-photographer-filmmaker-australia-7-400x400-q72.jpg	(from https://andyhardy.co/portfolio)
12:00:45	479689/479689	---M--	200	added ('OK')	image/jpeg	etag:%22751c9-5bb7aab298933%22	https://andyhardy.co/media/pages/portfolio/0fbd2a785b-1613463736/andy-hardy-people-accomodation-photographer-filmmaker-australia-9-2160x2160.jpg	C:/My%20Web%20Sites/https___andyhardy.co_/andyhardy.co/media/pages/portfolio/0fbd2a785b-1613463736/andy-hardy-people-accomodation-photographer-filmmaker-australia-9-2160x2160.jpg	(from https://andyhardy.co/portfolio)
12:00:46	13593/13593	---M--	200	added ('OK')	image/jpeg	etag:%223519-5bb6fd5d134c9%22	https://andyhardy.co/media/pages/portfolio/0fbd2a785b-1613463736/andy-hardy-people-accomodation-photographer-filmmaker-australia-9-400x400-q72.jpg	C:/My%20Web%20Sites/https___andyhardy.co_/andyhardy.co/media/pages/portfolio/0fbd2a785b-1613463736/andy-hardy-people-accomodation-photographer-filmmaker-australia-9-400x400-q72.jpg	(from https://andyhardy.co/portfolio)
12:00:46	22019/22019	---M--	200	added ('OK')	image/jpeg	etag:%225603-5bb6fd5cde51b%22	https://andyhardy.co/media/pages/portfolio/d5094e33f9-1613463736/andy-hardy-people-accomodation-photographer-filmmaker-australia-8-400x400-q72.jpg	C:/My%20Web%20Sites/https___andyhardy.co_/andyhardy.co/media/pages/portfolio/d5094e33f9-1613463736/andy-hardy-people-accomodation-photographer-filmmaker-australia-8-400x400-q72.jpg	(from https://andyhardy.co/portfolio)
